Old URL Slug,New Canonical Slug,New Guide Title
/removing-members-from-thrive-apprentice/,/how-to-managing-members-in-thrive-apprentice/,Managing Members in Thrive Apprentice
/importing-existing-members-to-thrive-apprentice/,/how-to-managing-members-in-thrive-apprentice/,Managing Members in Thrive Apprentice
/getting-started-with-new-thrive-apprentice-visual-editor/,/how-to-getting-started-with-the-thrive-apprentice-visual-editor/,Getting Started with the Thrive Apprentice Visual Editor
/switching-from-the-legacy-thrive-apprentice-editor-to-the-new-visual-editor/,/how-to-getting-started-with-the-thrive-apprentice-visual-editor/,Getting Started with the Thrive Apprentice Visual Editor
/switching-back-to-the-legacy-thrive-apprentice-editor/,/how-to-getting-started-with-the-thrive-apprentice-visual-editor/,Getting Started with the Thrive Apprentice Visual Editor
/customizing-the-thrive-apprentice-template-using-the-legacy-editor/,/how-to-getting-started-with-the-thrive-apprentice-visual-editor/,Getting Started with the Thrive Apprentice Visual Editor
/creating-and-using-thrive-apprentice-templates/,/how-to-creating-and-managing-thrive-apprentice-templates/,Creating and Managing Thrive Apprentice Templates
/managing-thrive-apprentice-templates-using-the-basic-template-options/,/how-to-creating-and-managing-thrive-apprentice-templates/,Creating and Managing Thrive Apprentice Templates
/applying-a-template-to-a-thrive-apprentice-content/,/how-to-creating-and-managing-thrive-apprentice-templates/,Creating and Managing Thrive Apprentice Templates
/using-the-design-section-of-thrive-apprentice/,/how-to-creating-and-managing-thrive-apprentice-templates/,Creating and Managing Thrive Apprentice Templates
/editing-a-thrive-apprentice-pre-built-design/,/how-to-creating-and-managing-thrive-apprentice-templates/,Creating and Managing Thrive Apprentice Templates
/adding-a-new-thrive-apprentice-design/,/how-to-creating-and-managing-thrive-apprentice-templates/,Creating and Managing Thrive Apprentice Templates
/adding-a-new-course-overview-template-in-thrive-apprentice/,/how-to-template-types-in-thrive-apprentice/,Template Types in Thrive Apprentice
/adding-a-new-lesson-template-in-thrive-apprentice/,/how-to-template-types-in-thrive-apprentice/,Template Types in Thrive Apprentice
/creating-a-thrive-apprentice-module-template/,/how-to-template-types-in-thrive-apprentice/,Template Types in Thrive Apprentice
/adding-a-new-course-completion-template/,/how-to-template-types-in-thrive-apprentice/,Template Types in Thrive Apprentice
/adding-an-access-restricted-template-in-thrive-apprentice/,/how-to-template-types-in-thrive-apprentice/,Template Types in Thrive Apprentice
/adding-a-new-certificate-verification-template/,/how-to-template-types-in-thrive-apprentice/,Template Types in Thrive Apprentice
/adding-a-new-school-homepage-in-thrive-architect/,/how-to-template-types-in-thrive-apprentice/,Template Types in Thrive Apprentice
/adding-a-video-description-for-your-thrive-apprentice-course/,/how-to-working-with-video-in-thrive-apprentice/,Working with Video in Thrive Apprentice
/moving-the-video-description-from-its-default-placement-on-a-template/,/how-to-working-with-video-in-thrive-apprentice/,Working with Video in Thrive Apprentice
/forcing-students-to-watch-a-video-before-marking-a-lesson-complete/,/how-to-working-with-video-in-thrive-apprentice/,Working with Video in Thrive Apprentice
/recording-video-events-in-thrive-apprentice/,/how-to-working-with-video-in-thrive-apprentice/,Working with Video in Thrive Apprentice
/using-the-drip-campaign-templates-in-thrive-apprentice/,/how-to-getting-started-with-drip-in-thrive-apprentice/,Getting Started with Drip in Thrive Apprentice
/understanding-the-new-drip-behavior-in-thrive-apprentice/,/how-to-getting-started-with-drip-in-thrive-apprentice/,Getting Started with Drip in Thrive Apprentice
/setting-up-the-unlock-conditions-for-drip-schedules/,/how-to-getting-started-with-drip-in-thrive-apprentice/,Getting Started with Drip in Thrive Apprentice
/selling-a-dripped-content-course/,/how-to-getting-started-with-drip-in-thrive-apprentice/,Getting Started with Drip in Thrive Apprentice
/setting-up-a-sequential-unlock-drip-template/,/how-to-drip-schedule-templates-reference/,Drip Schedule Templates Reference
/setting-up-an-evergreen-repeating-drip-template/,/how-to-drip-schedule-templates-reference/,Drip Schedule Templates Reference
/setting-up-a-scheduled-repeating-drip-template/,/how-to-drip-schedule-templates-reference/,Drip Schedule Templates Reference
/setting-up-a-day-of-the-week-or-month-drip-template/,/how-to-drip-schedule-templates-reference/,Drip Schedule Templates Reference
/setting-up-a-drip-on-specific-dates-drip-template/,/how-to-drip-schedule-templates-reference/,Drip Schedule Templates Reference
/setting-up-a-start-from-scratch-drip-campaign-template/,/how-to-drip-schedule-templates-reference/,Drip Schedule Templates Reference
/setting-up-a-thrive-automator-unlock-drip-template/,/how-to-drip-schedule-templates-reference/,Drip Schedule Templates Reference
/creating-cohort-based-classes-with-thrive-apprentice-and-drip/,/how-to-advanced-drip-techniques/,Advanced Drip Techniques
/dripping-course-content-only-on-weekdays/,/how-to-advanced-drip-techniques/,Advanced Drip Techniques
/how-to-start-a-course-on-the-first-monday-of-the-month/,/how-to-advanced-drip-techniques/,Advanced Drip Techniques
/using-decoupled-drip-schedules/,/how-to-advanced-drip-techniques/,Advanced Drip Techniques
/excluding-lessons-from-a-drip-campaign/,/how-to-advanced-drip-techniques/,Advanced Drip Techniques
/hiding-locked-lessons-from-lesson-list/,/how-to-advanced-drip-techniques/,Advanced Drip Techniques
/unlocking-course-contents-at-different-time-intervals/,/how-to-advanced-drip-techniques/,Advanced Drip Techniques
/should-i-use-woocommerce-with-thrive-apprentice/,/how-to-choosing-an-integration-for-thrive-apprentice/,Choosing an Integration for Thrive Apprentice
/should-i-use-thrivecart-with-thrive-apprentice/,/how-to-choosing-an-integration-for-thrive-apprentice/,Choosing an Integration for Thrive Apprentice
/should-i-use-sendowl-with-thrive-apprentice/,/how-to-choosing-an-integration-for-thrive-apprentice/,Choosing an Integration for Thrive Apprentice
/should-i-integrate-wishlist-member-with-thrive-apprentice/,/how-to-choosing-an-integration-for-thrive-apprentice/,Choosing an Integration for Thrive Apprentice
/should-i-integrate-memberpress-with-thrive-apprentice/,/how-to-choosing-an-integration-for-thrive-apprentice/,Choosing an Integration for Thrive Apprentice
/should-i-integrate-with-a-checkout-tool-a-membership-plugin-or-both/,/how-to-choosing-an-integration-for-thrive-apprentice/,Choosing an Integration for Thrive Apprentice
/working-of-thrive-apprentice-with-wishlist-member-plugin/,/how-to-integrating-membership-plugins-with-thrive-apprentice/,Integrating Membership Plugins with Thrive Apprentice
/working-of-thrive-apprentice-with-memberpress-plugin/,/how-to-integrating-membership-plugins-with-thrive-apprentice/,Integrating Membership Plugins with Thrive Apprentice
/working-of-thrive-apprentice-with-membermouse/,/how-to-integrating-membership-plugins-with-thrive-apprentice/,Integrating Membership Plugins with Thrive Apprentice
/integrating-thrive-apprentice-with-membermouse/,/how-to-integrating-membership-plugins-with-thrive-apprentice/,Integrating Membership Plugins with Thrive Apprentice
/how-to-no-index-thrive-apprentice-content-with-yoast-seo/,/how-to-no-indexing-thrive-apprentice-content/,No-Indexing Thrive Apprentice Content
/how-to-no-index-thrive-apprentice-content-with-all-in-one-seo-plugin-aioseo/,/how-to-no-indexing-thrive-apprentice-content/,No-Indexing Thrive Apprentice Content
/how-to-no-index-thrive-apprentice-content-with-yoast-seo/,/how-to-no-indexing-thrive-apprentice-content/,No-Indexing Thrive Apprentice Content
/issuing-student-certificates-in-thrive-apprentice/,/how-to-course-completion-certificates-in-thrive-apprentice/,Course Completion Certificates in Thrive Apprentice
/using-the-dynamic-thrive-apprentice-certificate-data/,/how-to-course-completion-certificates-in-thrive-apprentice/,Course Completion Certificates in Thrive Apprentice
/using-dynamic-text-in-the-course-completion-certificate/,/how-to-course-completion-certificates-in-thrive-apprentice/,Course Completion Certificates in Thrive Apprentice
/changing-the-pdf-file-name-of-a-completion-certificate/,/how-to-course-completion-certificates-in-thrive-apprentice/,Course Completion Certificates in Thrive Apprentice
/enabling-certificate-verification-for-thrive-apprentice-courses/,/how-to-course-completion-certificates-in-thrive-apprentice/,Course Completion Certificates in Thrive Apprentice
/using-a-download-certificate-button-on-a-course-completed-template/,/how-to-course-completion-certificates-in-thrive-apprentice/,Course Completion Certificates in Thrive Apprentice
/sending-course-certificate-through-email/,/how-to-course-completion-certificates-in-thrive-apprentice/,Course Completion Certificates in Thrive Apprentice
/sharing-a-course-completion-certificate-when-a-member-finishes-a-course/,/how-to-course-completion-certificates-in-thrive-apprentice/,Course Completion Certificates in Thrive Apprentice
/enabling-the-mark-as-complete-button-only-after-the-user-has-passed-completed-the-quiz/,/how-to-using-quizzes-in-thrive-apprentice-courses/,Using Quizzes in Thrive Apprentice Courses
/using-the-mark-as-complete-feature-on-a-quiz-in-thrive-apprentice/,/how-to-using-quizzes-in-thrive-apprentice-courses/,Using Quizzes in Thrive Apprentice Courses
/unlocking-the-next-lesson-only-after-a-student-has-passed-the-quiz/,/how-to-using-quizzes-in-thrive-apprentice-courses/,Using Quizzes in Thrive Apprentice Courses
/enrolling-users-in-a-course-after-they-complete-a-quiz/,/how-to-using-quizzes-in-thrive-apprentice-courses/,Using Quizzes in Thrive Apprentice Courses
/unlocking-lesson-content-after-the-students-pass-the-final-exam-quiz/,/how-to-using-quizzes-in-thrive-apprentice-courses/,Using Quizzes in Thrive Apprentice Courses
/changing-the-notification-for-the-mark-lesson-as-complete-behavior/,/how-to-using-quizzes-in-thrive-apprentice-courses/,Using Quizzes in Thrive Apprentice Courses
/enrolling-users-in-a-course-only-after-they-pass-a-test/,/how-to-thrive-automator-recipes-for-thrive-apprentice/,Thrive Automator Recipes for Thrive Apprentice
/notifying-students-when-new-content-is-unlocked/,/how-to-thrive-automator-recipes-for-thrive-apprentice/,Thrive Automator Recipes for Thrive Apprentice
/revoking-course-access-after-a-certain-period/,/how-to-thrive-automator-recipes-for-thrive-apprentice/,Thrive Automator Recipes for Thrive Apprentice
/granting-access-to-multiple-free-thrive-apprentice-courses-using-thrive-automator/,/how-to-thrive-automator-recipes-for-thrive-apprentice/,Thrive Automator Recipes for Thrive Apprentice
/user-accesses-a-free-course-and-unlocks-the-first-lesson-of-a-premium-course/,/how-to-thrive-automator-recipes-for-thrive-apprentice/,Thrive Automator Recipes for Thrive Apprentice
/removing-users-from-a-premium-course-after-the-free-trial-expires/,/how-to-thrive-automator-recipes-for-thrive-apprentice/,Thrive Automator Recipes for Thrive Apprentice
/sending-a-thank-you-email-after-users-purchase-a-thrive-apprentice-product/,/how-to-thrive-automator-recipes-for-thrive-apprentice/,Thrive Automator Recipes for Thrive Apprentice
/sending-discount-code-to-user-after-a-course-is-purchased/,/how-to-thrive-automator-recipes-for-thrive-apprentice/,Thrive Automator Recipes for Thrive Apprentice
/creating-automations-to-grant-user-access-to-thrive-apprentice-products-purchasing-different-digistore24-products/,/how-to-thrive-automator-recipes-for-thrive-apprentice/,Thrive Automator Recipes for Thrive Apprentice
/selling-your-thrive-apprentice-course-with-sendowl/,/how-to-setting-up-sendowl-with-thrive-apprentice-legacy/,Setting Up SendOwl with Thrive Apprentice (Legacy)
/setting-up-the-sendowl-listener/,/how-to-setting-up-sendowl-with-thrive-apprentice-legacy/,Setting Up SendOwl with Thrive Apprentice (Legacy)
/setting-the-right-permissions-for-a-new-api-key-in-sendowl/,/how-to-setting-up-sendowl-with-thrive-apprentice-legacy/,Setting Up SendOwl with Thrive Apprentice (Legacy)
/creating-products-and-bundles-in-sendowl-amp-set-them-up-in-thrive-apprentice/,/how-to-setting-up-sendowl-with-thrive-apprentice-legacy/,Setting Up SendOwl with Thrive Apprentice (Legacy)
/assigning-course-access-amp-setting-up-the-sendowl-protection-options/,/how-to-setting-up-sendowl-with-thrive-apprentice-legacy/,Setting Up SendOwl with Thrive Apprentice (Legacy)
/purchasing-process-in-the-sendowl-integration/,/how-to-setting-up-sendowl-with-thrive-apprentice-legacy/,Setting Up SendOwl with Thrive Apprentice (Legacy)
/assigning-course-access-amp-setting-up-the-sendowl-protection-options/,/how-to-setting-up-sendowl-with-thrive-apprentice-legacy/,Setting Up SendOwl with Thrive Apprentice (Legacy)
/can-i-use-the-different-checkout-templates-available-in-sendowl/,/how-to-sendowl-operations-and-troubleshooting-legacy/,SendOwl Operations and Troubleshooting (Legacy)
/setting-up-login-and-registration-page-in-thrive-apprentice/,/how-to-sendowl-operations-and-troubleshooting-legacy/,SendOwl Operations and Troubleshooting (Legacy)
/completing-the-thank-you-page-settings-in-sendowl-integration/,/how-to-sendowl-operations-and-troubleshooting-legacy/,SendOwl Operations and Troubleshooting (Legacy)
/allowing-customers-to-log-in-after-purchase/,/how-to-sendowl-operations-and-troubleshooting-legacy/,SendOwl Operations and Troubleshooting (Legacy)
/allowing-customers-to-log-in-after-purchase/,/how-to-sendowl-operations-and-troubleshooting-legacy/,SendOwl Operations and Troubleshooting (Legacy)
/adding-sendowl-customers-to-your-mailing-list/,/how-to-sendowl-operations-and-troubleshooting-legacy/,SendOwl Operations and Troubleshooting (Legacy)
/using-the-sendowl-customers-list-in-thrive-architect/,/how-to-sendowl-operations-and-troubleshooting-legacy/,SendOwl Operations and Troubleshooting (Legacy)
/applying-discounts-to-your-products/,/how-to-sendowl-operations-and-troubleshooting-legacy/,SendOwl Operations and Troubleshooting (Legacy)
/what-are-the-sendowl-logs-and-how-can-we-use-them/,/how-to-sendowl-operations-and-troubleshooting-legacy/,SendOwl Operations and Troubleshooting (Legacy)
/sell-subscriber-only-courses-using-thrive-apprentice-and-sendowl/,/how-to-sendowl-operations-and-troubleshooting-legacy/,SendOwl Operations and Troubleshooting (Legacy)
/finding-the-list-of-customers-in-sendowl/,/how-to-sendowl-operations-and-troubleshooting-legacy/,SendOwl Operations and Troubleshooting (Legacy)
/accessing-thrive-apprentice-course-after-purchase/,/how-to-sendowl-operations-and-troubleshooting-legacy/,SendOwl Operations and Troubleshooting (Legacy)
/translating-your-online-school/,/how-to-translating-your-thrive-apprentice-school/,Translating Your Thrive Apprentice School
/translating-thrive-apprentice-using-legacy-editor/,/how-to-translating-your-thrive-apprentice-school/,Translating Your Thrive Apprentice School
/translating-the-checkout-form-in-thrive-architect/,/how-to-translating-your-thrive-apprentice-school/,Translating Your Thrive Apprentice School
/translating-plugin-amp-theme-strings-using-say-what-plugin/,/how-to-translating-your-thrive-apprentice-school/,Translating Your Thrive Apprentice School
/unlocking-a-lesson-once-the-previous-lesson-is-marked-as-completed/,/how-to-conditional-lesson-unlocking-in-thrive-apprentice/,Conditional Lesson Unlocking in Thrive Apprentice
/unlocking-a-lesson-from-the-next-course-after-completing-first-course-module/,/how-to-conditional-lesson-unlocking-in-thrive-apprentice/,Conditional Lesson Unlocking in Thrive Apprentice
/granting-access-to-different-thrive-apprentice-courses-using-custom-user-roles/,/how-to-conditional-lesson-unlocking-in-thrive-apprentice/,Conditional Lesson Unlocking in Thrive Apprentice
/connecting-thrivecart-to-thrive-apprentice/,/how-to-connecting-thrivecart-to-thrive-apprentice/,Connecting ThriveCart to Thrive Apprentice
/setting-access-restriction-rules-for-thrivecart-in-thrive-apprentice/,/how-to-connecting-thrivecart-to-thrive-apprentice/,Connecting ThriveCart to Thrive Apprentice
/accessing-thrive-apprentice-course-after-purchase/,# NEEDS_REVIEW,(Pruned: Accessing Thrive Apprentice Course After Purchase)
/allowing-customers-to-log-in-after-theyve-completed-a-course/,# NEEDS_REVIEW,(Pruned: Allowing Customers to Log In After Completing a Course)
/allowing-customers-to-log-in-after-purchase/,# NEEDS_REVIEW,(Pruned: Allowing Customers to Log in After Purchase)
/sharing-a-course-completion-certificate-when-a-member-finishes-a-course/,# NEEDS_REVIEW,(Pruned: Sharing Course Completion Certificate When a Member Finishes a Course)
/creating-and-publishing-a-thrive-apprentice-lesson/,# NEEDS_REVIEW,(Pruned: Creating and Publishing a Thrive Apprentice Lesson)
/enrolling-users-in-a-course-only-after-they-pass-a-test/,# NEEDS_REVIEW,(Pruned: Enrolling Users in a Course Only After They Pass a Test)
/enrolling-users-in-a-course-after-they-complete-a-quiz/,# NEEDS_REVIEW,(Pruned: Enrolling Users in a Course After They Complete a Quiz)
